site,name,salary_min,salary_max,salary,firma,city,link
superjob.ru,Программист-консультант 1С в Отдел поддержки пользователей,125000,125000,от 125 000 ₽,ФПГ Энергоконтракт,"Москва,Смоленская",https://www.superjob.ru/vakansii/programmist-konsultant-1s-v-otdel-podderzhki-polzovatelej-33105316.html
superjob.ru,Программист-аналитик 1С,76000,76000,от 76 000 ₽,Кадровый Центр на Сокольнической Площади,Москва,https://www.superjob.ru/vakansii/programmist-analitik-1s-32585359.html
superjob.ru,Программист ABAP (специалист по разработке программ и интерфейсов),200000,200000,от 200 000 ₽,Группа компаний СНС,Москва,https://www.superjob.ru/vakansii/programmist-abap-32757534.html
superjob.ru,Программист 1С,120000,120000,120 000 ₽,Квадриго сервис,Москва,https://www.superjob.ru/vakansii/programmist-1s-32499165.html
superjob.ru,Программист Битрикс,150000,150000,150 000 ₽,Кадровый Центр на Сокольнической Площади,"Москва,Шоссе Энтузиастов",https://www.superjob.ru/vakansii/programmist-bitriks-33004178.html
superjob.ru,Ведущий программист 1С 8,150000,150000,от 150 000 ₽,Симбат,"Москва,Молодежная",https://www.superjob.ru/vakansii/veduschij-programmist-1s-8-32399181.html
superjob.ru,Консультант-программист 1С,90000,90000,90 000 ₽,Альпиндустрия,Москва,https://www.superjob.ru/vakansii/konsultant-programmist-1s-33102750.html
superjob.ru,Программист 1С,120000,120000,120 000 ₽,Бейби Арт,Москва,https://www.superjob.ru/vakansii/programmist-1s-32968375.html
superjob.ru,Технолог-программист ЧПУ,80000,91000,80 000 — 91 000 ₽,Экспресс,Москва,https://www.superjob.ru/vakansii/tehnolog-programmist-chpu-32854763.html
superjob.ru,Программист PL/SQL,100000,100000,100 000 ₽,Межрегиональная инспекция ФНС России по камеральному контролю,"Москва,Павелецкая",https://www.superjob.ru/vakansii/programmist-pl-32261500.html
superjob.ru,Программист 1С 8,110000,130000,110 000 — 130 000 ₽,Лидер,Москва,https://www.superjob.ru/vakansii/programmist-1s-8-32967759.html
superjob.ru,Программист,50000,50000,от 50 000 ₽,Детская городская поликлиника № 48,Москва,https://www.superjob.ru/vakansii/programmist-30223373.html
superjob.ru,Программист 1С,100000,100000,от 100 000 ₽,КИВИ Банк,"Москва,Чертановская",https://www.superjob.ru/vakansii/programmist-1s-31989516.html
